City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
516,Edgewater,US,60.82,overcast clouds,28.9889,-80.9023,Islander Beach Resort
517,Codrington,AU,67.37,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
520,Kirakira,SB,80.1,broken clouds,-10.4544,161.9205,SanBiz Lodge
521,Maneromango,TZ,74.95,light rain,-7.1988,38.7848,
526,Paidha,UG,66.16,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
527,Kon Tum,VN,62.92,few clouds,14.35,108.0,Hoa đà spa- homestay
528,Tonk,IN,60.93,broken clouds,26.1667,75.7833,Hotel sheetal Resort & Midway Restaurant
531,Saurimo,AO,64.0,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
532,Ulladulla,AU,63.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
534,Coolum Beach,AU,68.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
540,Khudumelapye,BW,70.09,few clouds,-23.8833,24.75,
545,Micheweni,TZ,81.93,overcast clouds,-4.9667,39.8333,
548,Betare Oya,CM,77.34,clear sky,5.6,14.0833,Auberge Tembina Betaré Oya
550,Gimbi,ET,62.01,overcast clouds,9.1667,35.8333,Sam home
551,Murray Bridge,AU,76.69,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
552,Kaniama,CD,66.27,overcast clouds,-7.5667,24.1833,
563,Soe,ID,65.41,overcast clouds,-9.8607,124.284,Dena Hotel
565,Kruisfontein,ZA,74.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
568,Princeton,US,80.02,broken clouds,25.5384,-80.4089,American Best Inn
572,Thinadhoo,MV,81.81,overcast clouds,0.5333,72.9333,
574,Raga,SS,72.81,broken clouds,8.4596,25.678,
575,Coquimbo,CL,69.08,clear sky,-29.9533,-71.3436,Hostel Del Puerto
576,Bima,ID,75.97,few clouds,-8.4667,118.7167,Lambitu Hotel
580,Bilma,NE,63.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
584,Mabaruma,GY,84.2,broken clouds,8.2,-59.7833,Monty Brooms Guest House
586,Amahai,ID,77.67,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
587,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
