City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Westport,US,2022-01-18 01:04:57,41.1415,-73.3579,37.22,86,100,1.99
266,Dongning,CN,2022-01-18 01:04:57,44.0622,131.1207,2.82,77,95,7.02
267,Kikwit,CD,2022-01-18 01:04:58,-5.041,18.8162,68.86,98,100,1.28
268,Mpophomeni,ZA,2022-01-18 01:05:58,-29.5682,30.1862,58.3,97,5,2.89
269,Kachiry,KZ,2022-01-18 01:05:59,53.0675,76.1036,8.15,94,6,8.86
270,Norman Wells,CA,2022-01-18 01:05:59,65.282,-126.8329,-28.1,97,53,6.06
271,Aykhal,RU,2022-01-18 01:05:59,66.0,111.5,-12.17,79,21,17.4
272,Meulaboh,ID,2022-01-18 01:06:00,4.1363,96.1285,75.43,90,100,4.7
273,Fazalpur,PK,2022-01-18 01:06:00,32.1833,75.0667,49.75,74,3,3.2
274,Port Hedland,AU,2022-01-18 01:06:01,-20.3167,118.5667,87.85,55,40,5.75
275,Tonj,SS,2022-01-18 01:06:01,7.2737,28.6822,75.79,63,100,1.39
276,Muros,ES,2022-01-18 01:06:02,42.7762,-9.0603,52.23,95,100,2.86
277,San Patricio,US,2022-01-18 01:06:02,28.017,-97.5169,61.83,55,0,8.5
278,Wawa,NG,2022-01-18 01:06:02,9.9022,4.4192,73.29,24,90,8.72
279,Chapais,CA,2022-01-18 01:06:03,49.7834,-74.8492,10.53,94,100,12.33
280,Santiago Del Estero,AR,2022-01-18 01:06:03,-27.7951,-64.2615,75.33,88,100,9.6
281,Teya,RU,2022-01-18 01:06:03,60.3778,92.6267,17.37,89,100,11.34
282,Coihaique,CL,2022-01-18 01:05:05,-45.5752,-72.0662,53.55,50,48,3.44
283,Zhezkazgan,KZ,2022-01-18 01:06:04,47.8043,67.7144,10.38,92,0,6.71
284,Hirado,JP,2022-01-18 01:06:04,33.3597,129.5531,41.36,52,21,16.93
